"Date","Price","Open","High","Low","Change %"
"May 01, 2018","1.619","1.629","1.652","1.619","-0.31%"
"Apr 30, 2018","1.624","1.609","1.632","1.601","1.27%"
"Apr 29, 2018","1.604","1.604","1.604","1.604","0.16%"
"Apr 27, 2018","1.601","1.606","1.621","1.599","-0.50%"
"Apr 26, 2018","1.609","1.655","1.680","1.596","-2.60%"
"Apr 25, 2018","1.652","1.706","1.706","1.645","-1.08%"
"Apr 24, 2018","1.670","1.682","1.695","1.662","0.30%"
"Apr 23, 2018","1.665","1.657","1.680","1.649","0.33%"
"Apr 22, 2018","1.660","1.654","1.660","1.654","0.76%"
"Apr 20, 2018","1.647","1.657","1.662","1.647","-0.60%"
"Apr 19, 2018","1.657","1.667","1.690","1.652","-0.60%"
"Apr 18, 2018","1.667","1.665","1.675","1.660","2.02%"
"Apr 17, 2018","1.634","1.629","1.662","1.629","0.31%"
"Apr 16, 2018","1.629","1.637","1.662","1.626","-0.62%"
"Apr 15, 2018","1.639","1.639","1.639","1.639","0.63%"
"Apr 13, 2018","1.629","1.634","1.662","1.629","-0.49%"
"Apr 12, 2018","1.637","1.629","1.645","1.624","0.49%"
"Apr 11, 2018","1.629","1.624","1.670","1.624","0.00%"
"Apr 10, 2018","1.629","1.675","1.697","1.624","-1.81%"
"Apr 09, 2018","1.659","1.680","1.685","1.659","-1.54%"
"Apr 08, 2018","1.685","1.675","1.685","1.675","0.47%"
"Apr 06, 2018","1.677","1.670","1.733","1.665","0.60%"
"Apr 05, 2018","1.667","1.670","1.731","1.662","-0.36%"
"Apr 04, 2018","1.673","1.690","1.706","1.670","-0.83%"
"Apr 03, 2018","1.687","1.675","1.705","1.672","0.42%"
"Apr 02, 2018","1.680","1.642","1.682","1.639","3.29%"
"Apr 01, 2018","1.627","1.624","1.627","1.624","0.34%"
"Mar 29, 2018","1.621","1.637","1.700","1.611","-1.28%"
"Mar 28, 2018","1.642","1.685","1.706","1.624","-1.32%"
"Mar 27, 2018","1.664","1.705","1.758","1.664","-2.12%"
"Mar 26, 2018","1.700","1.685","1.736","1.677","0.44%"
"Mar 25, 2018","1.692","1.677","1.692","1.677","0.62%"
"Mar 23, 2018","1.682","1.670","1.685","1.670","0.42%"
"Mar 22, 2018","1.675","1.703","1.721","1.675","-1.64%"
"Mar 21, 2018","1.703","1.754","1.754","1.703","0.77%"
"Mar 20, 2018","1.690","1.705","1.705","1.685","0.00%"
"Mar 19, 2018","1.690","1.708","1.708","1.690","-1.34%"
"Mar 18, 2018","1.713","1.713","1.713","1.713","1.06%"
"Mar 16, 2018","1.695","1.726","1.726","1.688","0.00%"
"Mar 15, 2018","1.695","1.746","1.746","1.693","-0.94%"
