"Date","Price","Open","High","Low","Change %"
"May 31, 2018","2.558","2.525","2.572","2.523","0.83%"
"May 30, 2018","2.537","2.410","2.547","2.410","3.59%"
"May 29, 2018","2.449","2.581","2.589","2.416","-5.20%"
"May 28, 2018","2.583","2.608","2.608","2.581","-0.94%"
"May 25, 2018","2.608","2.652","2.669","2.605","-1.58%"
"May 24, 2018","2.650","2.661","2.669","2.622","-0.49%"
"May 23, 2018","2.663","2.732","2.735","2.661","-2.42%"
"May 22, 2018","2.729","2.727","2.746","2.724","0.00%"
"May 21, 2018","2.729","2.737","2.746","2.724","-0.21%"
"May 20, 2018","2.735","2.713","2.735","2.713","0.80%"
"May 18, 2018","2.713","2.759","2.759","2.713","-1.49%"
"May 17, 2018","2.754","2.762","2.776","2.743","-0.47%"
"May 16, 2018","2.767","2.743","2.767","2.737","0.69%"
"May 15, 2018","2.748","2.707","2.762","2.707","1.40%"
"May 14, 2018","2.710","2.699","2.710","2.685","0.52%"
"May 13, 2018","2.696","2.693","2.701","2.693","0.11%"
"May 11, 2018","2.693","2.688","2.699","2.680","0.19%"
"May 10, 2018","2.688","2.688","2.693","2.644","0.11%"
"May 09, 2018","2.685","2.663","2.688","2.663","1.51%"
"May 08, 2018","2.645","2.633","2.656","2.631","0.46%"
"May 07, 2018","2.633","2.633","2.645","2.628","-0.11%"
"May 06, 2018","2.636","2.639","2.641","2.636","-0.11%"
"May 04, 2018","2.639","2.628","2.641","2.594","0.76%"
"May 03, 2018","2.619","2.627","2.635","2.605","-0.72%"
"May 02, 2018","2.638","2.640","2.663","2.632","-0.19%"
"May 01, 2018","2.643","2.632","2.654","2.626","0.53%"
"Apr 30, 2018","2.629","2.621","2.640","2.615","0.43%"
"Apr 29, 2018","2.618","2.618","2.618","2.618","0.00%"
"Apr 27, 2018","2.618","2.625","2.637","2.609","-0.19%"
"Apr 26, 2018","2.623","2.628","2.639","2.612","-0.61%"
"Apr 25, 2018","2.639","2.631","2.658","2.628","0.11%"
"Apr 24, 2018","2.636","2.641","2.658","2.619","-0.11%"
"Apr 23, 2018","2.639","2.627","2.641","2.617","0.55%"
"Apr 22, 2018","2.625","2.619","2.625","2.619","0.21%"
"Apr 20, 2018","2.619","2.586","2.619","2.578","1.28%"
"Apr 19, 2018","2.586","2.572","2.596","2.569","0.35%"
"Apr 18, 2018","2.577","2.533","2.577","2.531","1.86%"
"Apr 17, 2018","2.530","2.525","2.541","2.519","0.32%"
"Apr 16, 2018","2.522","2.514","2.539","2.508","0.22%"
"Apr 15, 2018","2.516","2.500","2.519","2.500","0.66%"
"Apr 13, 2018","2.500","2.487","2.519","2.478","-0.12%"
"Apr 12, 2018","2.503","2.446","2.503","2.438","2.46%"
"Apr 11, 2018","2.443","2.448","2.459","2.416","-0.04%"
"Apr 10, 2018","2.444","2.419","2.455","2.416","1.24%"
"Apr 09, 2018","2.414","2.416","2.436","2.402","0.00%"
"Apr 08, 2018","2.414","2.400","2.416","2.400","0.57%"
"Apr 06, 2018","2.400","2.430","2.447","2.394","-1.80%"
"Apr 05, 2018","2.444","2.436","2.447","2.430","0.45%"
"Apr 04, 2018","2.433","2.405","2.433","2.378","1.04%"
"Apr 03, 2018","2.408","2.375","2.419","2.372","1.65%"
"Apr 02, 2018","2.369","2.402","2.413","2.347","-1.16%"
"Apr 01, 2018","2.397","2.386","2.433","2.386","0.45%"
"Mar 29, 2018","2.386","2.411","2.419","2.383","-0.91%"
"Mar 28, 2018","2.408","2.394","2.424","2.353","0.80%"
"Mar 27, 2018","2.389","2.444","2.449","2.378","-2.13%"
"Mar 26, 2018","2.441","2.413","2.446","2.405","1.27%"
"Mar 25, 2018","2.411","2.405","2.413","2.405","0.23%"
"Mar 23, 2018","2.405","2.408","2.441","2.394","-0.91%"
"Mar 22, 2018","2.427","2.468","2.473","2.402","-1.42%"
"Mar 21, 2018","2.462","2.498","2.498","2.451","-1.32%"
"Mar 20, 2018","2.495","2.454","2.495","2.454","1.46%"
"Mar 19, 2018","2.459","2.457","2.473","2.432","0.20%"
"Mar 18, 2018","2.454","2.446","2.454","2.446","0.33%"
"Mar 16, 2018","2.446","2.438","2.454","2.424","0.70%"
"Mar 15, 2018","2.429","2.413","2.438","2.394","0.79%"
"Mar 14, 2018","2.410","2.418","2.443","2.391","-0.12%"
"Mar 13, 2018","2.413","2.435","2.440","2.399","-0.37%"
"Mar 12, 2018","2.422","2.441","2.450","2.419","-0.79%"
"Mar 11, 2018","2.441","2.433","2.444","2.433","0.35%"
"Mar 09, 2018","2.433","2.430","2.455","2.416","0.83%"
"Mar 08, 2018","2.413","2.419","2.430","2.402","-0.25%"
"Mar 07, 2018","2.419","2.384","2.427","2.380","0.04%"
"Mar 06, 2018","2.418","2.399","2.427","2.382","0.67%"
"Mar 05, 2018","2.402","2.381","2.418","2.349","0.95%"
"Mar 04, 2018","2.379","2.401","2.401","2.377","-0.90%"
"Mar 02, 2018","2.401","2.368","2.401","2.338","1.61%"
"Mar 01, 2018","2.363","2.409","2.426","2.343","-2.03%"
"Feb 28, 2018","2.412","2.426","2.451","2.409","-0.58%"
"Feb 27, 2018","2.426","2.371","2.440","2.368","2.10%"
"Feb 26, 2018","2.376","2.395","2.395","2.357","-0.80%"
"Feb 25, 2018","2.395","2.398","2.398","2.395","0.22%"
"Feb 23, 2018","2.390","2.420","2.428","2.373","-0.99%"
"Feb 22, 2018","2.414","2.436","2.441","2.411","-0.98%"
"Feb 21, 2018","2.438","2.414","2.447","2.397","1.25%"
"Feb 20, 2018","2.408","2.414","2.444","2.405","-0.23%"
"Feb 19, 2018","2.414","2.411","2.414","2.411","1.26%"
"Feb 18, 2018","2.384","2.384","2.384","2.384","0.00%"
"Feb 16, 2018","2.384","2.408","2.422","2.378","-0.87%"
"Feb 15, 2018","2.405","2.408","2.446","2.386","0.12%"
"Feb 14, 2018","2.402","2.315","2.405","2.291","3.89%"
"Feb 13, 2018","2.312","2.307","2.320","2.285","0.22%"
"Feb 12, 2018","2.307","2.331","2.331","2.288","0.95%"
"Feb 11, 2018","2.285","2.285","2.285","2.285","0.00%"
"Feb 09, 2018","2.285","2.310","2.334","2.207","-0.95%"
"Feb 08, 2018","2.307","2.304","2.356","2.293","-0.69%"
"Feb 07, 2018","2.323","2.312","2.342","2.272","1.66%"
"Feb 06, 2018","2.285","2.190","2.287","2.091","4.20%"
"Feb 05, 2018","2.193","2.323","2.334","2.179","-5.48%"
"Feb 04, 2018","2.320","2.323","2.326","2.320","-0.12%"
"Feb 02, 2018","2.323","2.328","2.365","2.306","0.17%"
"Feb 01, 2018","2.319","2.300","2.325","2.286","1.18%"
"Jan 31, 2018","2.292","2.264","2.305","2.239","1.24%"
"Jan 30, 2018","2.264","2.261","2.280","2.239","0.40%"
"Jan 29, 2018","2.255","2.241","2.294","2.241","0.49%"
"Jan 28, 2018","2.244","2.241","2.244","2.241","0.13%"
"Jan 26, 2018","2.241","2.205","2.255","2.203","1.77%"
"Jan 25, 2018","2.202","2.202","2.224","2.183","0.14%"
"Jan 24, 2018","2.199","2.172","2.205","2.169","1.01%"
"Jan 23, 2018","2.177","2.207","2.207","2.174","-1.09%"
